DateTime,Nifty Microcap 250
04-06-2019 0:00,5343.31
06-06-2019 0:00,5276.17
07-06-2019 0:00,5252.68
10-06-2019 0:00,5193.32
11-06-2019 0:00,5175.56
12-06-2019 0:00,5154.81
13-06-2019 0:00,5115.52
14-06-2019 0:00,5071.07
17-06-2019 0:00,4996.75
18-06-2019 0:00,4954.05
19-06-2019 0:00,4876.34
20-06-2019 0:00,4916.34
21-06-2019 0:00,4921.03
24-06-2019 0:00,4908.86
25-06-2019 0:00,4903.07
26-06-2019 0:00,4937.77
27-06-2019 0:00,4969.85
28-06-2019 0:00,4976.68
01-07-2019 0:00,4985.14
02-07-2019 0:00,4979.36
03-07-2019 0:00,4997.86
04-07-2019 0:00,4996.98
05-07-2019 0:00,4931.93
08-07-2019 0:00,4817.82
09-07-2019 0:00,4813.45
10-07-2019 0:00,4779.42
11-07-2019 0:00,4780.85
12-07-2019 0:00,4777.63
15-07-2019 0:00,4741.77
16-07-2019 0:00,4729.25
17-07-2019 0:00,4730.8
18-07-2019 0:00,4658.37
19-07-2019 0:00,4553.63
22-07-2019 0:00,4483.51
23-07-2019 0:00,4508.47
24-07-2019 0:00,4446.83
25-07-2019 0:00,4414.41
26-07-2019 0:00,4433.02
29-07-2019 0:00,4371.33
30-07-2019 0:00,4246.72
31-07-2019 0:00,4233.4
01-08-2019 0:00,4176.24
02-08-2019 0:00,4154.87
05-08-2019 0:00,4077.02
06-08-2019 0:00,4156.98
07-08-2019 0:00,4152.79
08-08-2019 0:00,4168.9
09-08-2019 0:00,4246.3
13-08-2019 0:00,4184.82
14-08-2019 0:00,4194.32
16-08-2019 0:00,4170.12
19-08-2019 0:00,4192.21
20-08-2019 0:00,4155.75
21-08-2019 0:00,4077.93
22-08-2019 0:00,3970.24
23-08-2019 0:00,3986.23
26-08-2019 0:00,4068.8
27-08-2019 0:00,4165.98
28-08-2019 0:00,4138.14
29-08-2019 0:00,4099.4
30-08-2019 0:00,4121.95
03-09-2019 0:00,4059.89
04-09-2019 0:00,4073.71
05-09-2019 0:00,4119.51
06-09-2019 0:00,4171.03
09-09-2019 0:00,4224.74
11-09-2019 0:00,4352.53
12-09-2019 0:00,4351.91
13-09-2019 0:00,4375.93
16-09-2019 0:00,4418.05
17-09-2019 0:00,4334.65
18-09-2019 0:00,4337.5
19-09-2019 0:00,4263.96
20-09-2019 0:00,4371.68
23-09-2019 0:00,4492.33
24-09-2019 0:00,4508.97
25-09-2019 0:00,4439
26-09-2019 0:00,4458.37
27-09-2019 0:00,4430.48
30-09-2019 0:00,4351.91
01-10-2019 0:00,4253.56
03-10-2019 0:00,4223.32
04-10-2019 0:00,4194.07
07-10-2019 0:00,4151.95
09-10-2019 0:00,4153.18
10-10-2019 0:00,4114.53
11-10-2019 0:00,4112.2
14-10-2019 0:00,4119.28
15-10-2019 0:00,4117.14
16-10-2019 0:00,4125.2
17-10-2019 0:00,4147.89
18-10-2019 0:00,4215.33
22-10-2019 0:00,4228.45
23-10-2019 0:00,4228.18
24-10-2019 0:00,4211.95
25-10-2019 0:00,4193.01
27-10-2019 0:00,4248.3
29-10-2019 0:00,4293.98
30-10-2019 0:00,4318.6
31-10-2019 0:00,4359.26
01-11-2019 0:00,4368.25
04-11-2019 0:00,4382.47
05-11-2019 0:00,4342.77
06-11-2019 0:00,4335.99
07-11-2019 0:00,4352.02
08-11-2019 0:00,4326.33
11-11-2019 0:00,4320.25
13-11-2019 0:00,4263.99
14-11-2019 0:00,4228.81
15-11-2019 0:00,4221.87
18-11-2019 0:00,4222.21
19-11-2019 0:00,4214.43
20-11-2019 0:00,4213.93
21-11-2019 0:00,4216.7
22-11-2019 0:00,4220.23
25-11-2019 0:00,4238.66
26-11-2019 0:00,4231.1
27-11-2019 0:00,4231.65
28-11-2019 0:00,4228.87
29-11-2019 0:00,4241.41
02-12-2019 0:00,4218.24
03-12-2019 0:00,4180.08
04-12-2019 0:00,4180.56
05-12-2019 0:00,4171.94
06-12-2019 0:00,4124.79
09-12-2019 0:00,4108.81
10-12-2019 0:00,4046.06
11-12-2019 0:00,4018.88
12-12-2019 0:00,4054.66
13-12-2019 0:00,4097.21
16-12-2019 0:00,4091.45
17-12-2019 0:00,4134.21
18-12-2019 0:00,4122.44
19-12-2019 0:00,4123.55
20-12-2019 0:00,4128.97
23-12-2019 0:00,4116.92
24-12-2019 0:00,4124.14
26-12-2019 0:00,4159.14
27-12-2019 0:00,4197.76
