Date,Open,High,Low,Close,Adj Close,Volume
2012-12-06,279.600006,279.600006,273.500000,277.744995,243.994019,544530
2012-12-07,276.950012,283.399994,267.054993,269.015015,236.324890,97620
2012-12-10,274.899994,279.500000,263.630005,267.005005,234.559143,106770
2012-12-11,267.505005,271.785004,265.174988,268.279999,235.679184,47110
2012-12-12,272.000000,274.899994,268.500000,270.700012,237.805115,103180
2012-12-13,271.214996,274.500000,265.285004,269.565002,236.808060,114350
2012-12-14,268.100006,273.179993,267.000000,270.670013,237.778763,85430
2012-12-17,278.785004,278.785004,270.005005,270.855011,237.941284,40150
2012-12-18,271.019989,273.399994,267.000000,269.470001,236.724579,28080
2012-12-19,270.000000,273.445007,269.109985,271.695007,238.679214,49470
2012-12-20,272.700012,274.410004,271.000000,272.339996,239.245819,52080
2012-12-21,271.154999,273.500000,267.005005,268.769989,236.109665,50850
2012-12-24,268.769989,270.005005,265.154999,268.339996,235.731888,46100
2012-12-26,267.500000,296.295013,267.100006,281.415009,247.218079,311600
2012-12-27,282.369995,292.000000,273.500000,275.285004,241.832962,313250
2012-12-28,277.894989,282.470001,275.000000,280.255005,246.199036,94340
2012-12-31,282.000000,293.000000,278.000000,290.660004,255.339584,251130
2013-01-01,290.660004,295.000000,286.010010,292.304993,256.784698,122510
2013-01-02,292.000000,292.000000,284.119995,285.535004,250.837433,130470
2013-01-03,289.869995,291.000000,285.000000,286.024994,251.267838,48190
2013-01-04,299.394989,299.394989,280.200012,282.269989,247.969116,86860
2013-01-07,289.975006,289.975006,282.005005,284.345001,249.791977,96870
2013-01-08,277.799988,287.494995,277.799988,279.475006,245.513809,58140
2013-01-09,281.399994,283.500000,274.700012,276.730011,243.102371,72390
2013-01-10,281.994995,285.500000,275.304993,280.609985,246.510880,138020
2013-01-11,279.019989,284.799988,278.255005,281.079987,246.923767,105830
2013-01-14,286.970001,289.399994,274.100006,276.450012,242.856430,58550
2013-01-15,278.920013,281.994995,276.549988,277.434998,243.721695,95750
2013-01-16,279.850006,279.880005,276.500000,277.420013,243.708527,77260
2013-01-17,279.489990,279.494995,271.000000,273.065002,239.882721,100450
2013-01-18,273.559998,278.695007,268.114990,271.225006,238.266296,56730
2013-01-21,276.200012,276.200012,268.500000,269.304993,236.579620,36620
2013-01-22,269.505005,270.500000,267.500000,269.725006,236.948608,135300
2013-01-23,268.505005,271.385010,265.000000,267.125000,234.664536,446850
2013-01-24,269.385010,277.500000,263.015015,269.954987,237.150620,146600
2013-01-25,271.795013,271.795013,263.815002,265.385010,233.135986,113120
2013-01-28,269.984985,269.984985,262.500000,264.010010,231.928085,121380
2013-01-29,266.864990,274.000000,261.000000,273.095001,239.909088,235910
2013-01-30,273.100006,278.899994,268.600006,276.260010,242.689468,252510
2013-01-31,277.500000,284.500000,275.500000,282.035004,247.762741,142400
2013-02-01,285.795013,286.500000,278.380005,284.119995,249.594315,133240
2013-02-04,278.390015,290.795013,275.114990,287.885010,252.901825,154820
2013-02-05,287.885010,291.000000,286.505005,287.670013,252.712997,348770
2013-02-06,289.790009,289.790009,275.500000,277.369995,243.664581,74420
2013-02-07,282.005005,284.000000,276.799988,278.605011,244.749527,75960
2013-02-08,278.000000,281.000000,271.500000,274.015015,240.717270,131220
2013-02-11,275.109985,278.899994,268.000000,274.125000,240.813919,21950
2013-02-12,276.899994,276.899994,263.100006,267.135010,234.673325,231110
2013-02-13,275.100006,275.100006,259.000000,262.470001,230.575195,243520
2013-02-14,262.470001,271.910004,262.459991,268.700012,236.048157,983410
2013-02-15,269.390015,269.500000,265.230011,265.929993,233.614746,21430
2013-02-18,265.934998,269.614990,265.140015,268.954987,236.272141,1140020
2013-02-19,269.980011,289.100006,269.820007,283.964996,249.458191,703010
2013-02-20,283.015015,286.399994,278.105011,281.390015,247.196106,211520
2013-02-21,276.105011,281.459991,276.105011,279.160004,245.237076,69940
2013-02-22,284.975006,284.989990,278.000000,279.589996,245.614807,93750
2013-02-25,280.144989,281.500000,275.010010,278.204987,244.398117,302430
2013-02-26,286.980011,286.980011,275.000000,276.945007,243.291245,177650
2013-02-27,275.500000,278.454987,275.200012,277.695007,243.950119,91010
2013-02-28,278.000000,281.859985,274.000000,277.065002,243.396667,279450
2013-03-01,282.899994,284.000000,274.299988,277.279999,243.585510,115990
2013-03-04,277.200012,282.799988,276.204987,278.079987,244.288300,64880
2013-03-05,284.899994,284.899994,278.579987,279.924988,245.909119,143810
2013-03-06,283.700012,283.700012,277.234985,278.420013,244.587006,34210
2013-03-07,281.500000,281.899994,277.299988,278.674988,244.810989,56040
2013-03-08,280.410004,280.410004,277.290009,279.394989,245.443512,37190
2013-03-11,284.299988,284.299988,275.000000,276.369995,242.786102,86620
2013-03-12,278.464996,279.500000,275.304993,276.515015,242.913498,41510
2013-03-13,276.500000,279.970001,274.000000,277.225006,245.311508,44520
2013-03-14,277.225006,277.899994,275.005005,276.554993,244.718628,13490
2013-03-15,276.899994,279.899994,276.000000,279.045013,246.922012,188190
2013-03-18,278.940002,280.500000,275.000000,277.475006,245.532776,48530
2013-03-19,277.500000,278.579987,267.200012,276.665009,244.815994,375190
2013-03-20,277.875000,280.000000,272.250000,275.010010,243.351501,336700
2013-03-21,279.980011,279.980011,270.100006,277.269989,245.351334,216390
2013-03-22,276.790009,276.795013,263.049988,267.885010,237.046707,174000
2013-03-25,268.000000,272.404999,257.255005,260.674988,230.666702,51010
2013-03-26,269.989990,269.989990,251.154999,256.304993,226.799789,31700
2013-03-28,257.000000,257.299988,252.000000,256.220001,226.724564,597860
2013-04-01,256.019989,259.899994,254.669998,255.184998,225.808716,256360
2013-04-02,253.000000,278.799988,250.100006,270.250000,239.139496,135340
2013-04-03,270.200012,272.500000,267.024994,269.700012,238.652817,45220
2013-04-04,270.000000,270.000000,264.500000,265.774994,235.179626,53400
2013-04-05,263.100006,271.200012,263.089996,266.429993,235.759216,69070
2013-04-08,270.894989,270.894989,268.040009,270.250000,239.139496,49320
2013-04-09,263.000000,273.899994,263.000000,272.880005,241.466690,879200
2013-04-10,279.980011,280.000000,269.000000,278.480011,246.422058,107390
2013-04-11,279.799988,282.500000,275.894989,280.809998,248.483810,572760
2013-04-12,279.500000,282.000000,275.100006,275.625000,243.895721,1062830
2013-04-15,275.994995,278.000000,270.700012,273.399994,241.926834,65160
2013-04-16,270.709991,273.399994,261.114990,272.105011,240.780960,80700
2013-04-17,276.695007,276.774994,270.000000,271.075012,239.869492,29660
2013-04-18,263.100006,273.000000,263.100006,268.695007,237.763504,55780
2013-04-22,270.299988,288.500000,266.234985,287.304993,254.231140,859450
2013-04-23,285.100006,285.100006,281.304993,282.420013,249.908524,29980
2013-04-25,284.989990,292.065002,281.665009,291.345001,257.806030,140850
2013-04-26,288.369995,290.000000,287.299988,289.410004,256.093842,53430
2013-04-29,288.114990,295.000000,287.244995,292.404999,258.744049,72620
2013-04-30,295.500000,297.600006,286.709991,295.839996,261.783600,259880
2013-05-02,302.600006,307.500000,293.959991,306.195007,270.946533,302260
2013-05-03,305.000000,315.000000,301.105011,313.255005,277.193878,138100
2013-05-06,312.000000,318.000000,310.704987,317.660004,281.091797,351660
2013-05-07,313.500000,319.390015,312.029999,313.970001,277.826538,264550
2013-05-08,318.700012,318.700012,307.885010,313.519989,277.428284,124810
2013-05-09,312.779999,312.779999,303.000000,307.850006,272.411102,148460
2013-05-10,308.950012,308.950012,303.299988,306.489990,271.207611,290450
2013-05-13,306.565002,307.994995,303.500000,306.704987,271.397797,71210
2013-05-14,309.000000,330.000000,307.899994,327.945007,290.192780,1210070
2013-05-15,333.399994,348.600006,327.100006,340.075012,300.926422,758590
2013-05-16,339.899994,348.000000,333.899994,345.209991,305.470245,365860
2013-05-17,346.100006,346.494995,341.329987,344.924988,305.218018,92650
2013-05-20,344.100006,355.500000,340.625000,349.570007,309.328339,642660
2013-05-21,349.399994,357.299988,345.054993,349.690002,309.434479,199850
2013-05-22,349.000000,352.500000,347.500000,351.035004,310.624725,120890
2013-05-23,345.200012,350.500000,343.130005,345.364990,305.607391,250060
2013-05-24,346.799988,359.899994,343.584991,358.244995,317.004700,144670
2013-05-27,357.019989,369.799988,357.019989,365.614990,323.526276,1006260
2013-05-28,365.500000,382.899994,362.334991,378.149994,334.618256,168280
2013-05-29,377.515015,388.329987,374.804993,378.660004,335.069550,288800
2013-05-30,380.000000,382.600006,374.000000,377.950012,334.441315,80040
2013-05-31,378.100006,378.994995,364.799988,370.160004,327.548065,89220
2013-06-03,374.984985,376.559998,364.000000,369.035004,326.552673,92850
2013-06-04,368.885010,374.799988,355.220001,359.420013,318.044464,128870
2013-06-05,360.040009,360.040009,346.500000,354.070007,313.310333,177070
2013-06-06,357.494995,361.700012,343.220001,345.654999,305.864014,101130
2013-06-07,347.959991,358.399994,340.100006,355.035004,314.164154,612290
2013-06-10,357.000000,363.500000,355.019989,359.795013,318.376251,418800
2013-06-11,357.000000,361.399994,350.899994,352.765015,312.155579,177880
2013-06-12,348.625000,355.500000,344.125000,349.579987,309.337189,309380
2013-06-13,350.000000,355.000000,341.220001,348.285004,308.191284,41040
2013-06-14,348.100006,356.500000,345.505005,351.434998,310.978638,238650
2013-06-17,350.100006,359.000000,346.700012,355.500000,314.575684,145440
2013-06-18,351.600006,368.799988,351.600006,361.869995,320.212372,350890
2013-06-19,365.700012,369.899994,360.070007,366.845001,324.614685,268340
2013-06-20,365.795013,367.500000,362.299988,366.059998,323.920044,130880
2013-06-21,366.359985,367.649994,354.399994,356.165009,315.164154,52140
2013-06-24,354.890015,354.890015,337.500000,339.964996,300.829071,101730
2013-06-25,348.869995,348.869995,331.000000,335.105011,296.528564,504790
2013-06-26,335.100006,344.875000,331.000000,336.795013,298.023987,204380
2013-06-27,333.309998,337.500000,321.200012,330.674988,292.608429,440850
